Community Area,Year,Month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1,2024,1,0.0,35.0,66.0,13.0,0.0,57.0,2.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,14.0,3.0,0.0,131.0,1.0
1,2024,2,0.0,32.0,70.0,12.0,0.0,43.0,1.0,7.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,7.0,5.0,0.0,107.0,3.0
1,2024,3,0.0,25.0,61.0,10.0,1.0,55.0,2.0,8.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35.0,11.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,2.0,8.0,1.0,0.0,111.0,6.0
1,2024,4,0.0,28.0,63.0,7.0,0.0,40.0,2.0,5.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,1.0,14.0,4.0,0.0,127.0,8.0
1,2024,5,0.0,23.0,83.0,12.0,0.0,46.0,4.0,2.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,26.0,2.0,0.0,0.0,5.0,0.0,23.0,0.0,0.0,5.0,11.0,3.0,1.0,134.0,6.0
1,2024,6,0.0,25.0,62.0,7.0,0.0,30.0,1.0,5.0,18.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,31.0,4.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,3.0,11.0,1.0,1.0,114.0,1.0
1,2024,7,1.0,32.0,70.0,8.0,0.0,42.0,5.0,7.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,3.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,7.0,5.0,1.0,125.0,4.0
1,2024,8,0.0,30.0,50.0,16.0,0.0,37.0,3.0,7.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,8.0,1.0,0.0,111.0,1.0
1,2024,9,0.0,34.0,72.0,6.0,0.0,40.0,3.0,9.0,18.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,32.0,5.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,1.0,1.0,91.0,6.0
1,2024,10,1.0,37.0,68.0,5.0,0.0,36.0,2.0,10.0,22.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,2.0,9.0,5.0,2.0,87.0,5.0
1,2024,11,1.0,31.0,66.0,3.0,0.0,30.0,5.0,9.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,13.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,17.0,4.0,1.0,79.0,1.0
1,2024,12,0.0,21.0,57.0,15.0,0.0,28.0,2.0,13.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,3.0,0.0,0.0,68.0,2.0
1,2025,1,0.0,20.0,62.0,14.0,1.0,28.0,2.0,12.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,24.0,9.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,1.0,90.0,10.0
1,2025,2,1.0,28.0,58.0,13.0,0.0,28.0,1.0,5.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,2.0,0.0,18.0,0.0,1.0,0.0,14.0,1.0,0.0,82.0,2.0
1,2025,3,1.0,25.0,46.0,3.0,0.0,33.0,5.0,5.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,8.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,3.0,4.0,2.0,79.0,2.0
1,2025,4,0.0,14.0,17.0,3.0,0.0,14.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,32.0,2.0
