GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06037101110,Census Tract 1011.10; Los Angeles County; California,2.2,5.4,7.8,8.2,35.7,37602.0,37.1
06037101122,Census Tract 1011.22; Los Angeles County; California,0.8,4.6,9.6,16.1,37.8,49498.0,38.3
06037101220,Census Tract 1012.20; Los Angeles County; California,4.7,8.7,12.7,23.200000000000003,33.400000000000006,40042.0,43.7
06037101221,Census Tract 1012.21; Los Angeles County; California,7.7,3.1,4.3,25.9,38.0,26561.0,41.0
06037101222,Census Tract 1012.22; Los Angeles County; California,15.9,15.7,11.8,14.1,34.5,23183.0,50.0
06037101300,Census Tract 1013; Los Angeles County; California,0.0,1.6,7.3,7.1000000000000005,45.2,47695.0,36.5
06037101400,Census Tract 1014; Los Angeles County; California,2.6,1.1,8.5,11.3,36.9,39026.0,37.2
06037102103,Census Tract 1021.03; Los Angeles County; California,2.2,11.8,8.7,6.0,40.0,29930.0,41.2
06037102104,Census Tract 1021.04; Los Angeles County; California,3.0,1.7,5.5,7.300000000000001,38.9,44438.0,35.0
06037102105,Census Tract 1021.05; Los Angeles County; California,3.9,2.6,3.4,22.9,37.2,40167.0,36.7
06037102107,Census Tract 1021.07; Los Angeles County; California,1.5,7.7,6.9,17.0,33.8,47137.0,36.9
06037103101,Census Tract 1031.01; Los Angeles County; California,0.0,2.0,8.6,6.6,32.7,47590.0,33.7
06037103102,Census Tract 1031.02; Los Angeles County; California,2.0,1.5,11.8,17.2,34.0,39410.0,39.2
06037103201,Census Tract 1032.01; Los Angeles County; California,5.5,5.9,10.0,21.9,30.5,40741.0,40.3
06037103202,Census Tract 1032.02; Los Angeles County; California,4.6,0.0,1.1,10.7,44.3,47043.0,34.3
06037103300,Census Tract 1033; Los Angeles County; California,0.9,4.4,8.9,5.199999999999999,45.900000000000006,57228.0,37.7
06037103401,Census Tract 1034.01; Los Angeles County; California,0.0,0.0,10.3,7.6000000000000005,48.4,46558.0,39.2
06037103402,Census Tract 1034.02; Los Angeles County; California,6.0,5.4,2.9,8.3,39.1,47819.0,35.5
06037104103,Census Tract 1041.03; Los Angeles County; California,6.5,3.0,8.0,30.9,36.3,27435.0,43.0
06037104105,Census Tract 1041.05; Los Angeles County; California,7.0,19.8,8.3,37.400000000000006,42.099999999999994,19180.0,51.9
06037104108,Census Tract 1041.08; Los Angeles County; California,13.4,9.8,5.1,37.7,35.5,23653.0,47.1
06037104124,Census Tract 1041.24; Los Angeles County; California,0.1,7.1,14.4,14.899999999999999,30.8,33860.0,40.9
06037104201,Census Tract 1042.01; Los Angeles County; California,22.0,9.8,5.5,42.1,33.0,27338.0,50.3
06037104203,Census Tract 1042.03; Los Angeles County; California,14.5,16.1,9.1,39.9,35.9,19001.0,52.8
06037104204,Census Tract 1042.04; Los Angeles County; California,9.8,8.6,5.1,33.5,32.400000000000006,21509.0,43.9
06037104310,Census Tract 1043.10; Los Angeles County; California,15.4,5.0,6.9,43.599999999999994,32.4,25673.0,47.5
06037104321,Census Tract 1043.21; Los Angeles County; California,16.2,25.9,8.7,51.9,35.8,18340.0,58.0
06037104322,Census Tract 1043.22; Los Angeles County; California,9.7,0.0,0.0,46.8,32.8,24449.0,40.1
06037104401,Census Tract 1044.01; Los Angeles County; California,14.7,20.3,5.1,42.3,39.0,19833.0,52.8
06037104403,Census Tract 1044.03; Los Angeles County; California,18.6,8.7,6.9,46.1,40.099999999999994,32989.0,51.8
06037104404,Census Tract 1044.04; Los Angeles County; California,21.0,14.0,9.2,48.5,37.599999999999994,21096.0,56.5
06037104500,Census Tract 1045; Los Angeles County; California,17.4,22.2,4.5,47.099999999999994,40.6,18982.0,55.4
06037104610,Census Tract 1046.10; Los Angeles County; California,23.6,7.0,2.0,46.6,39.7,20516.0,51.3
06037104620,Census Tract 1046.20; Los Angeles County; California,28.5,15.4,5.1,53.800000000000004,35.6,21510.0,57.5
06037104701,Census Tract 1047.01; Los Angeles County; California,17.5,23.4,9.1,53.3,39.699999999999996,14584.0,59.8
06037104703,Census Tract 1047.03; Los Angeles County; California,22.6,9.4,7.8,45.400000000000006,35.4,21338.0,53.7
06037104704,Census Tract 1047.04; Los Angeles County; California,21.5,18.9,4.5,39.2,41.8,20204.0,55.0
06037104821,Census Tract 1048.21; Los Angeles County; California,15.6,15.7,7.7,50.5,33.9,19235.0,53.3
06037104822,Census Tract 1048.22; Los Angeles County; California,21.3,24.4,11.7,50.8,41.2,18841.0,62.9
06037104823,Census Tract 1048.23; Los Angeles County; California,20.1,18.7,8.2,43.9,40.3,19865.0,57.1
06037104824,Census Tract 1048.24; Los Angeles County; California,18.4,0.0,2.8,45.099999999999994,39.5,21950.0,47.3
06037106010,Census Tract 1060.10; Los Angeles County; California,9.9,4.3,4.8,17.9,38.400000000000006,36464.0,40.4
06037106020,Census Tract 1060.20; Los Angeles County; California,11.9,13.5,10.4,25.8,33.3,35288.0,47.3
06037106111,Census Tract 1061.11; Los Angeles County; California,8.6,1.6,7.1,21.6,36.0,40392.0,40.1
06037106112,Census Tract 1061.12; Los Angeles County; California,4.1,13.9,3.0,15.3,35.1,33219.0,38.6
06037106113,Census Tract 1061.13; Los Angeles County; California,8.8,3.9,7.5,25.3,36.3,33954.0,42.4
06037106114,Census Tract 1061.14; Los Angeles County; California,10.9,18.4,4.9,32.8,38.0,24009.0,48.4
06037106403,Census Tract 1064.03; Los Angeles County; California,10.9,5.1,5.0,44.8,36.7,26767.0,45.9
06037106405,Census Tract 1064.05; Los Angeles County; California,5.2,13.0,11.1,30.099999999999998,31.099999999999998,27055.0,45.7
06037106406,Census Tract 1064.06; Los Angeles County; California,3.6,0.7,3.1,32.6,31.9,37578.0,36.1
06037106407,Census Tract 1064.07; Los Angeles County; California,9.2,24.2,9.1,44.0,46.1,18223.0,56.9
06037106408,Census Tract 1064.08; Los Angeles County; California,13.0,27.3,5.8,25.0,40.6,19199.0,52.3
06037106510,Census Tract 1065.10; Los Angeles County; California,10.0,11.6,9.1,20.700000000000003,35.3,34418.0,45.0
06037106520,Census Tract 1065.20; Los Angeles County; California,10.7,15.3,5.6,28.9,33.9,27895.0,45.6
06037106603,Census Tract 1066.03; Los Angeles County; California,0.3,2.4,4.9,6.0,42.2,56391.0,33.5
06037106604,Census Tract 1066.04; Los Angeles County; California,7.5,7.6,2.6,38.900000000000006,33.0,29815.0,41.4
06037106641,Census Tract 1066.41; Los Angeles County; California,0.0,7.1,6.7,4.7,40.4,58585.0,34.9
06037106642,Census Tract 1066.42; Los Angeles County; California,3.7,3.5,6.8,7.4,36.6,49539.0,35.5
06037106643,Census Tract 1066.43; Los Angeles County; California,0.6,0.0,5.2,7.1,39.2,85777.0,29.6
06037106645,Census Tract 1066.45; Los Angeles County; California,1.3,2.2,10.8,8.4,48.9,51225.0,40.5
06037106646,Census Tract 1066.46; Los Angeles County; California,0.0,0.8,9.0,9.4,39.6,44647.0,36.4
06037106648,Census Tract 1066.48; Los Angeles County; California,6.7,14.4,1.5,42.2,39.5,22385.0,45.5
06037106649,Census Tract 1066.49; Los Angeles County; California,13.7,7.3,7.4,36.6,37.3,31125.0,47.6
06037107010,Census Tract 1070.10; Los Angeles County; California,11.7,1.6,5.0,33.9,33.599999999999994,28092.0,42.4
