GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
36005000100,Census Tract 1; Bronx County; New York,,,,38.6,2.0,4465.0,42.9
36005000200,Census Tract 2; Bronx County; New York,3.9,6.3,4.5,14.799999999999999,33.599999999999994,33631.0,37.2
36005000400,Census Tract 4; Bronx County; New York,3.1,7.2,8.3,19.5,35.3,38516.0,40.4
36005001600,Census Tract 16; Bronx County; New York,11.7,13.9,11.9,27.6,39.9,27908.0,53.2
36005001901,Census Tract 19.01; Bronx County; New York,4.0,25.1,6.2,16.8,22.7,34199.0,40.8
36005001902,Census Tract 19.02; Bronx County; New York,13.0,19.2,19.5,39.2,22.799999999999997,28922.0,57.9
36005001903,Census Tract 19.03; Bronx County; New York,,,,0.0,0.0,,0.0
36005001904,Census Tract 19.04; Bronx County; New York,,,,0.0,0.0,,0.0
36005002001,Census Tract 20.01; Bronx County; New York,4.1,30.2,22.9,33.099999999999994,42.9,15091.0,62.8
36005002002,Census Tract 20.02; Bronx County; New York,0.0,25.7,17.1,44.0,40.400000000000006,41065.0,56.2
36005002300,Census Tract 23; Bronx County; New York,10.6,35.3,17.1,38.6,39.7,13273.0,65.4
36005002400,Census Tract 24; Bronx County; New York,,,,0.0,0.0,,0.0
36005002500,Census Tract 25; Bronx County; New York,9.7,36.6,12.2,37.4,33.4,14220.0,60.5
36005002701,Census Tract 27.01; Bronx County; New York,19.2,51.8,16.8,47.7,49.0,12142.0,79.5
36005002702,Census Tract 27.02; Bronx County; New York,11.4,45.4,8.0,46.7,32.800000000000004,15616.0,63.7
36005002800,Census Tract 28; Bronx County; New York,11.2,2.4,2.6,13.600000000000001,32.0,37820.0,38.0
36005003100,Census Tract 31; Bronx County; New York,8.3,16.3,10.8,28.1,35.1,22964.0,50.7
36005003300,Census Tract 33; Bronx County; New York,8.7,41.9,10.6,40.2,44.7,13778.0,64.3
36005003500,Census Tract 35; Bronx County; New York,5.2,25.9,12.1,38.1,38.5,19852.0,56.1
36005003700,Census Tract 37; Bronx County; New York,0.0,0.0,0.0,42.8,26.9,18974.0,37.9
36005003800,Census Tract 38; Bronx County; New York,10.9,10.9,20.5,28.0,38.099999999999994,37577.0,55.4
36005003900,Census Tract 39; Bronx County; New York,10.4,34.5,9.4,33.4,42.400000000000006,20760.0,59.5
36005004001,Census Tract 40.01; Bronx County; New York,4.9,10.0,2.8,20.700000000000003,41.3,39729.0,40.9
36005004100,Census Tract 41; Bronx County; New York,4.4,34.5,20.0,42.7,32.3,17537.0,62.1
36005004200,Census Tract 42; Bronx County; New York,3.7,12.2,7.6,22.4,43.4,23629.0,45.9
36005004300,Census Tract 43; Bronx County; New York,8.0,20.6,14.0,32.400000000000006,37.9,21271.0,55.5
36005004400,Census Tract 44; Bronx County; New York,6.5,43.9,18.4,36.8,41.0,13584.0,66.0
36005004600,Census Tract 46; Bronx County; New York,6.1,47.0,4.5,26.299999999999997,48.599999999999994,15596.0,58.1
36005004800,Census Tract 48; Bronx County; New York,6.2,31.5,7.0,35.8,36.5,22429.0,54.0
36005005001,Census Tract 50.01; Bronx County; New York,13.1,43.8,17.8,30.799999999999997,37.7,16168.0,66.6
36005005002,Census Tract 50.02; Bronx County; New York,9.0,35.0,14.7,39.9,40.6,16200.0,63.4
36005005100,Census Tract 51; Bronx County; New York,8.0,42.7,12.3,38.6,48.3,10637.0,65.9
36005005200,Census Tract 52; Bronx County; New York,2.8,35.1,5.3,23.6,43.400000000000006,19163.0,51.1
36005005300,Census Tract 53; Bronx County; New York,7.0,39.1,14.4,37.2,47.6,10373.0,65.0
36005005400,Census Tract 54; Bronx County; New York,8.9,25.5,9.6,33.9,42.599999999999994,18417.0,56.8
36005005600,Census Tract 56; Bronx County; New York,8.5,23.2,13.6,34.3,41.3,25887.0,57.2
36005005902,Census Tract 59.02; Bronx County; New York,4.0,32.6,8.7,22.9,36.3,28029.0,50.0
36005006000,Census Tract 60; Bronx County; New York,12.5,21.7,15.6,34.0,42.0,20446.0,60.7
36005006100,Census Tract 61; Bronx County; New York,3.5,8.4,9.8,13.299999999999999,32.1,38809.0,39.2
36005006200,Census Tract 62; Bronx County; New York,6.6,32.2,12.9,39.4,36.8,17471.0,59.1
36005006301,Census Tract 63.01; Bronx County; New York,8.1,21.7,6.0,20.200000000000003,26.5,35175.0,43.9
36005006302,Census Tract 63.02; Bronx County; New York,,,,0.0,0.0,,0.0
36005006400,Census Tract 64; Bronx County; New York,3.3,45.8,13.2,34.7,36.6,18214.0,59.7
36005006500,Census Tract 65; Bronx County; New York,3.2,52.5,13.7,29.8,38.1,13980.0,61.2
36005006700,Census Tract 67; Bronx County; New York,13.7,57.6,2.9,52.0,46.1,14704.0,70.5
36005006800,Census Tract 68; Bronx County; New York,9.7,29.3,11.7,39.1,51.599999999999994,14961.0,63.5
36005006900,Census Tract 69; Bronx County; New York,7.8,39.5,12.9,26.8,34.1,23625.0,57.1
36005007000,Census Tract 70; Bronx County; New York,8.3,24.2,5.7,40.3,37.3,23985.0,53.8
36005007100,Census Tract 71; Bronx County; New York,3.1,12.7,9.0,18.700000000000003,34.2,30166.0,42.4
36005007200,Census Tract 72; Bronx County; New York,18.4,12.6,4.6,22.2,35.7,22782.0,50.4
36005007300,Census Tract 73; Bronx County; New York,7.0,31.6,14.0,25.3,39.3,13101.0,57.1
36005007400,Census Tract 74; Bronx County; New York,1.3,15.6,11.0,19.3,40.400000000000006,30181.0,45.2
36005007500,Census Tract 75; Bronx County; New York,7.2,29.8,12.5,28.1,37.7,20662.0,55.5
36005007600,Census Tract 76; Bronx County; New York,8.5,12.1,9.0,21.0,37.4,24880.0,47.2
36005007700,Census Tract 77; Bronx County; New York,15.6,20.4,10.5,27.5,28.0,18983.0,53.9
36005007800,Census Tract 78; Bronx County; New York,7.0,20.1,3.5,23.9,34.6,27611.0,45.3
36005007900,Census Tract 79; Bronx County; New York,5.0,33.1,14.1,26.400000000000002,46.4,15894.0,58.4
36005008300,Census Tract 83; Bronx County; New York,5.4,8.9,20.5,30.4,33.8,25715.0,52.4
36005008400,Census Tract 84; Bronx County; New York,1.6,1.8,12.8,10.3,38.599999999999994,32108.0,39.5
36005008500,Census Tract 85; Bronx County; New York,7.0,28.1,15.5,34.3,33.5,21865.0,57.0
36005008600,Census Tract 86; Bronx County; New York,2.3,34.6,11.7,36.4,41.2,12822.0,57.5
36005008700,Census Tract 87; Bronx County; New York,7.6,41.0,18.7,28.4,40.1,21647.0,62.8
36005008900,Census Tract 89; Bronx County; New York,7.4,5.8,19.1,47.7,40.4,21312.0,58.7
36005009000,Census Tract 90; Bronx County; New York,2.5,34.5,11.0,30.099999999999998,43.9,17044.0,55.9
36005009200,Census Tract 92; Bronx County; New York,10.6,18.8,8.5,17.9,36.8,25115.0,48.9
36005009301,Census Tract 93.01; Bronx County; New York,7.3,21.5,11.3,21.7,38.0,25223.0,50.7
36005009302,Census Tract 93.02; Bronx County; New York,,,,42.7,1.9,9612.0,44.2
36005009600,Census Tract 96; Bronx County; New York,6.2,15.8,13.8,27.9,41.2,23012.0,52.6
36005009800,Census Tract 98; Bronx County; New York,2.0,21.6,15.2,32.3,46.9,29032.0,54.8
36005011000,Census Tract 110; Bronx County; New York,,,,0.0,0.0,,0.0
36005011502,Census Tract 115.02; Bronx County; New York,7.6,37.6,15.5,21.799999999999997,43.1,16032.0,59.7
36005011701,Census Tract 117.01; Bronx County; New York,16.2,31.1,8.5,35.1,43.3,14082.0,62.6
36005011702,Census Tract 117.02; Bronx County; New York,,,,0.0,0.0,,0.0
36005011800,Census Tract 118; Bronx County; New York,2.7,9.0,7.5,9.7,30.7,35980.0,36.5
36005011900,Census Tract 119; Bronx County; New York,10.6,26.4,14.8,32.2,40.9,17469.0,60.0
36005012101,Census Tract 121.01; Bronx County; New York,11.7,23.3,11.3,26.299999999999997,34.0,26051.0,53.6
36005012102,Census Tract 121.02; Bronx County; New York,10.7,6.2,15.3,39.2,33.6,20317.0,54.5
36005012300,Census Tract 123; Bronx County; New York,13.8,8.5,4.7,31.900000000000002,30.9,29945.0,47.5
36005012500,Census Tract 125; Bronx County; New York,9.0,26.1,12.9,29.5,33.8,22463.0,54.9
36005012701,Census Tract 127.01; Bronx County; New York,12.8,26.8,9.2,30.3,35.3,19499.0,56.0
36005012901,Census Tract 129.01; Bronx County; New York,20.5,32.5,22.8,34.8,42.3,16935.0,72.6
36005013000,Census Tract 130; Bronx County; New York,4.7,11.4,2.6,19.7,31.200000000000003,32372.0,38.7
36005013100,Census Tract 131; Bronx County; New York,4.1,38.5,18.3,25.9,31.7,20947.0,57.1
36005013200,Census Tract 132; Bronx County; New York,5.4,8.3,1.3,11.7,37.0,40681.0,36.3
36005013300,Census Tract 133; Bronx County; New York,0.9,14.4,17.5,36.7,34.2,21571.0,51.9
36005013500,Census Tract 135; Bronx County; New York,0.0,37.8,12.0,24.8,45.300000000000004,20259.0,54.6
36005013800,Census Tract 138; Bronx County; New York,5.4,7.7,16.4,13.100000000000001,34.5,42043.0,43.9
36005014100,Census Tract 141; Bronx County; New York,7.6,24.7,7.3,26.2,34.0,21766.0,49.9
36005014300,Census Tract 143; Bronx County; New York,7.9,31.9,9.6,23.0,39.3,14184.0,54.5
36005014400,Census Tract 144; Bronx County; New York,9.9,19.8,15.6,28.3,47.0,23137.0,58.4
36005014500,Census Tract 145; Bronx County; New York,12.0,54.2,11.6,47.2,38.8,15555.0,70.1
36005014701,Census Tract 147.01; Bronx County; New York,1.1,42.4,19.1,43.9,36.8,13016.0,63.8
36005014702,Census Tract 147.02; Bronx County; New York,3.6,36.7,19.0,42.8,44.8,12240.0,65.5
36005014900,Census Tract 149; Bronx County; New York,5.1,20.3,22.1,30.9,45.9,19166.0,60.1
36005015100,Census Tract 151; Bronx County; New York,4.9,25.0,12.1,38.7,33.3,18979.0,54.5
36005015200,Census Tract 152; Bronx County; New York,1.4,9.4,3.5,11.2,38.5,37882.0,36.1
36005015300,Census Tract 153; Bronx County; New York,3.0,16.3,11.0,25.0,36.9,22551.0,47.5
36005015500,Census Tract 155; Bronx County; New York,13.2,18.7,18.6,33.6,37.9,17940.0,60.9
36005015700,Census Tract 157; Bronx County; New York,7.0,35.0,12.3,26.200000000000003,39.4,20464.0,56.7
36005015800,Census Tract 158; Bronx County; New York,5.7,17.5,13.2,14.5,35.8,35495.0,46.3
36005015900,Census Tract 159; Bronx County; New York,6.8,34.9,4.1,38.6,38.8,20491.0,55.2
36005016000,Census Tract 160; Bronx County; New York,0.2,5.6,6.9,10.100000000000001,35.6,46856.0,34.4
36005016100,Census Tract 161; Bronx County; New York,4.5,34.7,15.5,40.3,44.6,18726.0,62.3
36005016200,Census Tract 162; Bronx County; New York,4.5,5.5,9.3,13.200000000000001,38.8,39325.0,40.4
36005016300,Census Tract 163; Bronx County; New York,,,,0.0,0.0,,0.0
36005016400,Census Tract 164; Bronx County; New York,0.0,16.8,1.6,5.300000000000001,51.099999999999994,32470.0,38.6
36005016500,Census Tract 165; Bronx County; New York,4.8,19.4,6.3,21.799999999999997,41.400000000000006,18830.0,47.5
36005016600,Census Tract 166; Bronx County; New York,5.1,10.2,8.5,14.7,34.0,41470.0,40.5
36005016700,Census Tract 167; Bronx County; New York,5.9,34.7,9.3,26.6,38.3,23400.0,53.9
36005016900,Census Tract 169; Bronx County; New York,6.7,22.0,19.4,25.900000000000002,34.7,17544.0,55.8
36005017100,Census Tract 171; Bronx County; New York,,,,0.0,0.0,,0.0
36005017300,Census Tract 173; Bronx County; New York,9.4,44.0,10.4,39.0,43.900000000000006,16566.0,64.4
36005017500,Census Tract 175; Bronx County; New York,0.0,24.9,3.4,26.200000000000003,46.0,17422.0,47.3
36005017701,Census Tract 177.01; Bronx County; New York,2.1,47.0,13.6,42.599999999999994,33.8,17591.0,61.0
36005017702,Census Tract 177.02; Bronx County; New York,6.4,24.2,19.8,31.200000000000003,34.599999999999994,21376.0,57.5
36005017901,Census Tract 179.01; Bronx County; New York,13.9,16.4,11.4,41.0,27.599999999999998,22159.0,55.6
36005017902,Census Tract 179.02; Bronx County; New York,18.2,18.5,7.1,39.4,43.0,28755.0,59.3
36005018101,Census Tract 181.01; Bronx County; New York,9.4,37.4,15.4,23.0,42.6,16880.0,60.7
36005018102,Census Tract 181.02; Bronx County; New York,9.3,26.0,8.4,24.8,46.599999999999994,21430.0,54.9
36005018301,Census Tract 183.01; Bronx County; New York,5.2,9.1,12.1,21.6,38.5,39517.0,45.4
36005018302,Census Tract 183.02; Bronx County; New York,5.1,11.4,11.4,22.4,34.8,27992.0,45.9
36005018400,Census Tract 184; Bronx County; New York,8.0,6.7,3.8,21.0,37.6,35788.0,41.7
36005018501,Census Tract 185.01; Bronx County; New York,8.9,17.7,6.7,31.8,33.7,20359.0,50.0
36005018502,Census Tract 185.02; Bronx County; New York,5.6,45.6,30.1,24.6,33.599999999999994,14025.0,67.0
36005018900,Census Tract 189; Bronx County; New York,15.3,27.0,6.1,29.0,37.5,19525.0,56.0
36005019300,Census Tract 193; Bronx County; New York,6.4,19.7,5.8,25.9,38.8,20064.0,48.5
