Community Area,Year,Month,AGGRAVATED ASSAULT FIREARM,AGGRAVATED ASSAULT NO FIREARM,ALL OTHER OFFENSES,ARSON,BURGLARY NON-RESIDENTIAL,BURGLARY RESIDENTIAL,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,EMBEZZLEMENT,FORGERY AND COUNTERFEITING,FRAUD,GAMBLING VIOLATIONS,HOMICIDE - CRIMINAL,HOMICIDE - JUSTIFIABLE,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,NARCOTIC / DRUG LAW VIOLATIONS,OFFENSES AGAINST FAMILY AND CHILDREN,OTHER ASSAULTS,OTHER SEX OFFENSES (NOT COMMERCIALIZED),PROSTITUTION AND COMMERCIALIZED VICE,PUBLIC DRUNKENNESS,RAPE,RECEIVING STOLEN PROPERTY,ROBBERY FIREARM,ROBBERY NO FIREARM,THEFT FROM VEHICLE,THEFTS,VAGRANCY/LOITERING,VANDALISM/CRIMINAL MISCHIEF,WEAPON VIOLATIONS
01,2024,1,5.0,4.0,7.0,0.0,6.0,3.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,36.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,20.0,63.0,0.0,30.0,4.0
01,2024,2,3.0,8.0,18.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,88.0,0.0,12.0,1.0
01,2024,3,3.0,11.0,11.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,24.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,9.0,89.0,0.0,21.0,3.0
01,2024,4,1.0,4.0,8.0,0.0,3.0,8.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,105.0,0.0,13.0,4.0
01,2024,5,9.0,7.0,16.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,35.0,3.0,0.0,43.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,105.0,0.0,20.0,2.0
01,2024,6,2.0,4.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,24.0,2.0,1.0,36.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,14.0,87.0,0.0,23.0,6.0
01,2024,7,1.0,6.0,26.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,41.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,115.0,0.0,17.0,2.0
01,2024,8,3.0,14.0,14.0,0.0,1.0,6.0,2.0,2.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,31.0,3.0,1.0,42.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,14.0,101.0,0.0,26.0,3.0
01,2024,9,4.0,8.0,18.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,45.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,13.0,80.0,0.0,15.0,4.0
01,2024,10,3.0,9.0,19.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,27.0,3.0,0.0,0.0,2.0,2.0,2.0,5.0,29.0,121.0,0.0,21.0,5.0
