GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06075010101,Census Tract 101.01; San Francisco County; California,0.0,10.2,9.8,4.4,33.099999999999994,67881.0,44.4
06075010102,Census Tract 101.02; San Francisco County; California,4.2,3.9,0.7,17.2,35.2,58035.0,43.2
06075010201,Census Tract 102.01; San Francisco County; California,0.0,1.6,2.0,2.6999999999999997,25.4,137503.0,23.6
06075010202,Census Tract 102.02; San Francisco County; California,0.0,0.0,3.7,0.7999999999999999,22.8,184196.0,18.7
06075010300,Census Tract 103; San Francisco County; California,0.0,10.3,2.2,6.300000000000001,29.6,104108.0,34.0
06075010401,Census Tract 104.01; San Francisco County; California,3.3,5.4,7.6,5.1,36.9,81954.0,43.8
06075010402,Census Tract 104.02; San Francisco County; California,2.3,4.2,3.1,5.699999999999999,18.3,168044.0,24.5
06075010500,Census Tract 105; San Francisco County; California,2.2,3.9,7.6,4.7,39.5,143884.0,37.1
06075010600,Census Tract 106; San Francisco County; California,2.0,21.4,10.5,18.2,28.8,60031.0,57.0
06075010701,Census Tract 107.01; San Francisco County; California,0.1,16.1,12.4,49.9,43.9,22143.0,72.3
06075010702,Census Tract 107.02; San Francisco County; California,2.2,11.2,13.1,11.6,30.0,87176.0,50.0
06075010800,Census Tract 108; San Francisco County; California,0.7,8.9,3.8,13.100000000000001,26.2,111385.0,35.8
06075010901,Census Tract 109.01; San Francisco County; California,0.0,9.0,0.5,3.3,19.4,141314.0,24.1
06075010902,Census Tract 109.02; San Francisco County; California,3.6,6.7,0.0,11.4,24.0,114924.0,32.9
06075011001,Census Tract 110.01; San Francisco County; California,0.0,19.4,0.0,5.9,20.9,104211.0,33.9
06075011002,Census Tract 110.02; San Francisco County; California,0.0,0.0,4.8,14.4,22.900000000000002,91189.0,32.2
06075011101,Census Tract 111.01; San Francisco County; California,1.2,3.9,6.6,19.1,23.0,102909.0,37.8
06075011102,Census Tract 111.02; San Francisco County; California,6.5,6.8,4.3,20.700000000000003,22.1,72271.0,46.0
06075011200,Census Tract 112; San Francisco County; California,1.2,6.7,7.0,5.1,26.2,119687.0,34.8
06075011300,Census Tract 113; San Francisco County; California,0.0,25.7,6.2,41.9,39.6,40575.0,66.2
06075011700,Census Tract 117; San Francisco County; California,4.0,22.2,12.7,16.7,23.799999999999997,72043.0,58.5
06075011800,Census Tract 118; San Francisco County; California,7.6,25.5,6.1,38.7,32.6,29386.0,72.0
06075011901,Census Tract 119.01; San Francisco County; California,0.8,3.5,2.2,3.3,22.7,96275.0,28.6
06075011902,Census Tract 119.02; San Francisco County; California,6.2,3.9,8.1,16.4,26.1,66670.0,48.0
06075012001,Census Tract 120.01; San Francisco County; California,0.0,0.0,7.0,2.6999999999999997,13.7,65874.0,29.5
06075012002,Census Tract 120.02; San Francisco County; California,0.6,12.9,10.1,5.6,8.5,61921.0,39.5
06075012100,Census Tract 121; San Francisco County; California,0.8,7.9,4.8,3.2,13.7,78980.0,31.7
06075012202,Census Tract 122.02; San Francisco County; California,2.5,0.0,15.9,9.7,23.4,42393.0,47.8
06075012203,Census Tract 122.03; San Francisco County; California,0.0,50.0,26.5,23.200000000000003,28.4,37766.0,88.1
06075012204,Census Tract 122.04; San Francisco County; California,7.7,5.2,6.4,12.600000000000001,22.4,52892.0,47.6
06075012301,Census Tract 123.01; San Francisco County; California,0.0,0.0,4.7,29.3,33.9,36266.0,45.4
06075012302,Census Tract 123.02; San Francisco County; California,0.0,15.5,10.6,10.8,13.299999999999999,48698.0,45.1
06075012403,Census Tract 124.03; San Francisco County; California,4.0,0.0,10.8,42.3,27.5,22940.0,58.5
06075012404,Census Tract 124.04; San Francisco County; California,0.0,0.0,2.5,20.200000000000003,26.5,24178.0,39.0
06075012405,Census Tract 124.05; San Francisco County; California,0.8,9.9,4.0,6.2,12.2,92585.0,31.4
06075012406,Census Tract 124.06; San Francisco County; California,4.5,0.0,4.5,21.0,29.4,39323.0,45.7
06075012502,Census Tract 125.02; San Francisco County; California,4.0,2.8,16.9,42.2,44.0,23538.0,70.9
06075012503,Census Tract 125.03; San Francisco County; California,7.1,10.7,19.7,18.8,32.0,25175.0,69.4
06075012504,Census Tract 125.04; San Francisco County; California,0.0,2.9,7.2,61.3,50.800000000000004,26297.0,66.0
06075012601,Census Tract 126.01; San Francisco County; California,0.0,5.5,1.1,0.6,26.6,145001.0,24.0
06075012602,Census Tract 126.02; San Francisco County; California,0.0,2.1,6.0,3.4000000000000004,22.1,145800.0,25.9
06075012700,Census Tract 127; San Francisco County; California,0.0,10.2,2.6,0.5,17.3,181523.0,21.6
06075012801,Census Tract 128.01; San Francisco County; California,0.0,0.0,2.8,5.3,38.2,218777.0,21.6
06075012802,Census Tract 128.02; San Francisco County; California,0.0,0.0,1.6,0.3,27.8,149592.0,21.4
06075012901,Census Tract 129.01; San Francisco County; California,2.2,0.0,2.7,0.6,18.8,133457.0,23.3
06075012902,Census Tract 129.02; San Francisco County; California,1.1,0.0,1.1,0.5,21.4,129954.0,21.8
06075013001,Census Tract 130.01; San Francisco County; California,0.0,4.6,1.9,0.0,20.4,129470.0,23.3
06075013002,Census Tract 130.02; San Francisco County; California,0.0,4.5,1.5,0.0,25.0,138521.0,23.6
06075013101,Census Tract 131.01; San Francisco County; California,6.1,5.6,6.1,2.7,22.2,147694.0,34.3
06075013102,Census Tract 131.02; San Francisco County; California,0.8,6.8,4.2,0.0,29.099999999999998,190182.0,25.1
06075013200,Census Tract 132; San Francisco County; California,0.0,0.0,1.2,1.8,37.7,176385.0,22.5
06075013300,Census Tract 133; San Francisco County; California,0.3,1.3,0.3,7.0,43.7,150259.0,28.7
06075013401,Census Tract 134.01; San Francisco County; California,0.0,0.0,3.3,1.6,29.6,137058.0,25.0
06075013402,Census Tract 134.02; San Francisco County; California,0.0,0.0,1.8,0.0,30.9,189909.0,19.0
06075013500,Census Tract 135; San Francisco County; California,0.0,0.0,2.7,2.1,24.0,143975.0,22.2
06075015100,Census Tract 151; San Francisco County; California,0.0,2.5,4.5,2.5999999999999996,29.4,128333.0,28.4
06075015201,Census Tract 152.01; San Francisco County; California,0.0,0.0,5.8,2.7,27.9,85017.0,31.5
06075015202,Census Tract 152.02; San Francisco County; California,0.0,0.0,6.6,2.0,32.0,128610.0,29.6
06075015300,Census Tract 153; San Francisco County; California,1.9,16.4,1.3,6.2,25.7,120802.0,35.8
06075015401,Census Tract 154.01; San Francisco County; California,0.0,2.2,10.7,2.0,21.6,101426.0,33.4
06075015402,Census Tract 154.02; San Francisco County; California,0.0,0.0,2.8,0.7,26.200000000000003,143384.0,22.6
06075015500,Census Tract 155; San Francisco County; California,0.8,3.1,8.2,6.7,45.5,87698.0,43.2
06075015600,Census Tract 156; San Francisco County; California,0.0,2.0,2.6,11.0,33.5,74622.0,35.2
06075015701,Census Tract 157.01; San Francisco County; California,0.0,4.5,3.7,3.0,14.1,52694.0,30.4
06075015702,Census Tract 157.02; San Francisco County; California,1.1,1.9,1.2,2.8,25.799999999999997,127113.0,25.3
06075015801,Census Tract 158.01; San Francisco County; California,0.0,9.5,6.0,8.8,33.2,78241.0,41.2
06075015802,Census Tract 158.02; San Francisco County; California,0.0,5.7,7.4,3.1,12.6,101382.0,29.7
06075015900,Census Tract 159; San Francisco County; California,0.9,15.8,2.9,6.699999999999999,37.0,59492.0,45.1
06075016000,Census Tract 160; San Francisco County; California,2.0,16.7,4.4,8.6,30.0,100494.0,42.8
06075016101,Census Tract 161.01; San Francisco County; California,1.0,2.7,4.1,6.6,45.2,56825.0,42.1
06075016102,Census Tract 161.02; San Francisco County; California,0.0,24.5,14.9,22.700000000000003,39.4,24011.0,68.6
06075016200,Census Tract 162; San Francisco County; California,1.9,0.0,2.5,4.9,11.7,136469.0,21.5
06075016300,Census Tract 163; San Francisco County; California,0.0,1.7,7.0,2.1,18.5,98691.0,29.0
06075016400,Census Tract 164; San Francisco County; California,0.0,0.0,2.0,1.7999999999999998,16.7,109492.0,22.0
06075016500,Census Tract 165; San Francisco County; California,1.1,0.0,4.2,9.3,20.3,89477.0,30.5
06075016601,Census Tract 166.01; San Francisco County; California,0.0,0.0,2.9,2.5999999999999996,22.9,93122.0,26.5
06075016602,Census Tract 166.02; San Francisco County; California,0.4,0.0,0.0,0.0,12.0,118488.0,17.7
06075016700,Census Tract 167; San Francisco County; California,0.0,0.0,3.3,1.6,14.899999999999999,147181.0,19.2
06075016801,Census Tract 168.01; San Francisco County; California,3.0,3.1,2.7,4.0,16.799999999999997,122886.0,27.2
06075016802,Census Tract 168.02; San Francisco County; California,0.0,8.3,1.2,5.2,13.2,106325.0,26.0
06075016900,Census Tract 169; San Francisco County; California,0.0,5.0,12.0,2.9,18.5,112786.0,34.3
06075017000,Census Tract 170; San Francisco County; California,0.0,0.0,2.2,0.9,26.299999999999997,153962.0,21.2
06075017101,Census Tract 171.01; San Francisco County; California,2.2,2.8,2.2,3.1,31.9,109436.0,31.6
06075017102,Census Tract 171.02; San Francisco County; California,3.6,1.1,2.5,4.6,26.1,112360.0,30.8
06075017602,Census Tract 176.02; San Francisco County; California,2.6,11.5,2.4,10.399999999999999,19.299999999999997,56267.0,39.7
06075017603,Census Tract 176.03; San Francisco County; California,2.6,6.4,6.1,8.399999999999999,27.6,63953.0,41.7
06075017604,Census Tract 176.04; San Francisco County; California,1.4,2.7,12.5,6.0,17.0,89854.0,37.6
06075017700,Census Tract 177; San Francisco County; California,0.0,1.5,1.1,11.0,18.4,81097.0,28.0
06075017801,Census Tract 178.01; San Francisco County; California,4.7,4.2,9.9,31.799999999999997,57.800000000000004,64280.0,63.9
06075017803,Census Tract 178.03; San Francisco County; California,1.4,12.2,3.9,5.199999999999999,21.9,88798.0,36.5
06075017804,Census Tract 178.04; San Francisco County; California,1.1,16.3,3.4,10.0,12.7,86493.0,36.6
06075017903,Census Tract 179.03; San Francisco County; California,8.6,22.5,12.7,13.600000000000001,17.5,35986.0,63.7
06075018000,Census Tract 180; San Francisco County; California,0.0,9.5,5.6,10.2,17.3,99274.0,34.1
06075020101,Census Tract 201.01; San Francisco County; California,1.9,0.0,4.4,15.3,17.5,100170.0,31.7
06075020102,Census Tract 201.02; San Francisco County; California,1.9,9.1,17.8,22.6,21.9,66555.0,55.3
06075020201,Census Tract 202.01; San Francisco County; California,0.4,0.0,9.3,11.100000000000001,17.4,112981.0,31.9
06075020202,Census Tract 202.02; San Francisco County; California,6.5,24.2,0.4,4.3,23.5,88961.0,45.7
06075020300,Census Tract 203; San Francisco County; California,0.0,0.0,2.7,5.5,16.1,133659.0,21.5
06075020401,Census Tract 204.01; San Francisco County; California,2.6,1.6,2.0,0.6000000000000001,21.4,113970.0,26.5
06075020402,Census Tract 204.02; San Francisco County; California,0.3,4.8,4.7,1.1,21.3,114465.0,28.2
06075020500,Census Tract 205; San Francisco County; California,1.2,2.1,5.8,0.9,28.299999999999997,146153.0,28.3
06075020601,Census Tract 206.01; San Francisco County; California,0.9,2.4,3.6,5.0,20.3,109574.0,27.9
06075020602,Census Tract 206.02; San Francisco County; California,0.0,0.0,2.4,1.0,23.2,131822.0,22.3
06075020701,Census Tract 207.01; San Francisco County; California,1.1,0.0,10.5,4.5,16.5,123235.0,30.4
06075020702,Census Tract 207.02; San Francisco County; California,0.9,12.6,0.8,8.2,25.6,131519.0,31.9
06075020801,Census Tract 208.01; San Francisco County; California,3.6,9.8,3.5,21.7,23.9,66591.0,45.2
06075020802,Census Tract 208.02; San Francisco County; California,0.0,7.9,8.0,18.3,19.9,73221.0,41.2
06075020900,Census Tract 209; San Francisco County; California,4.0,6.5,5.5,22.3,23.2,75669.0,44.8
06075021000,Census Tract 210; San Francisco County; California,0.0,12.0,4.3,3.5,29.200000000000003,121544.0,34.2
06075021100,Census Tract 211; San Francisco County; California,0.0,1.9,2.8,1.0,29.0,156479.0,23.5
06075021200,Census Tract 212; San Francisco County; California,0.0,0.0,5.7,0.7,30.799999999999997,136834.0,27.3
06075021300,Census Tract 213; San Francisco County; California,0.6,5.7,2.7,1.2,31.5,128557.0,29.5
06075021400,Census Tract 214; San Francisco County; California,0.0,0.0,3.5,1.4,28.3,139712.0,24.5
06075021500,Census Tract 215; San Francisco County; California,0.0,0.0,0.6,2.3,26.8,130749.0,22.4
06075021600,Census Tract 216; San Francisco County; California,0.7,1.6,0.5,0.4,31.700000000000003,146026.0,23.7
06075021700,Census Tract 217; San Francisco County; California,2.0,5.1,5.8,4.8,42.6,86088.0,42.0
06075021800,Census Tract 218; San Francisco County; California,1.8,0.0,1.6,4.0,30.2,131711.0,26.9
06075022600,Census Tract 226; San Francisco County; California,4.1,0.0,1.0,1.3,11.299999999999999,163296.0,19.0
06075022702,Census Tract 227.02; San Francisco County; California,0.0,9.7,3.2,5.3,20.1,117407.0,29.9
06075022704,Census Tract 227.04; San Francisco County; California,2.2,4.6,3.2,0.8,26.2,144336.0,27.8
06075022801,Census Tract 228.01; San Francisco County; California,6.3,7.5,7.7,10.100000000000001,29.4,88372.0,46.9
06075022802,Census Tract 228.02; San Francisco County; California,2.0,11.2,4.4,13.600000000000001,31.799999999999997,78445.0,44.0
06075022803,Census Tract 228.03; San Francisco County; California,8.3,7.9,5.0,11.700000000000001,34.6,72619.0,50.5
06075022901,Census Tract 229.01; San Francisco County; California,7.1,13.1,2.0,32.1,28.5,61474.0,54.8
06075022902,Census Tract 229.02; San Francisco County; California,4.1,5.4,6.9,11.4,25.6,96682.0,41.0
06075022903,Census Tract 229.03; San Francisco County; California,0.0,2.5,7.0,13.100000000000001,23.5,82394.0,36.1
06075023001,Census Tract 230.01; San Francisco County; California,14.2,10.9,14.8,30.0,34.4,27512.0,77.2
06075023003,Census Tract 230.03; San Francisco County; California,11.0,6.8,8.2,16.4,33.5,46813.0,59.2
06075023102,Census Tract 231.02; San Francisco County; California,5.3,24.0,9.3,26.4,42.599999999999994,30190.0,70.9
06075023103,Census Tract 231.03; San Francisco County; California,5.4,25.9,19.8,23.299999999999997,45.699999999999996,12420.0,83.0
06075023200,Census Tract 232; San Francisco County; California,2.2,4.2,12.5,27.5,33.1,42711.0,55.7
06075023300,Census Tract 233; San Francisco County; California,8.4,18.6,5.5,28.700000000000003,35.5,32920.0,66.1
06075023400,Census Tract 234; San Francisco County; California,18.4,20.6,4.7,23.900000000000002,45.2,31267.0,79.4
06075025100,Census Tract 251; San Francisco County; California,8.9,14.6,1.9,8.6,33.4,103648.0,47.9
06075025200,Census Tract 252; San Francisco County; California,0.9,8.1,0.2,3.7,29.7,106150.0,31.0
06075025300,Census Tract 253; San Francisco County; California,4.5,1.5,2.7,10.7,27.1,99194.0,35.6
