CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,ROAD_DEFECT,FIRST_CRASH_TYPE,CRASH_TYPE,LATITUDE,LONGITUDE,BEAT_OF_OCCURRENCE,ALIGNMENT,TRAFFICWAY_TYPE,LANE_CNT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,INTERSECTION_RELATED_I,DAMAGE,NUM_UNITS,HIT_AND_RUN_I
2025-01-01T01:42:00.000,Clear,Daylight,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.779788527865740,-122.41512695567786,Tenderloin,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T01:54:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.788146413096591,-122.42081119488994,Nob Hill,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T02:19:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Rear End,Injury (Complaint of Pain),37.777493843682436,-122.41629170139379,South of Market,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T04:30:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.720724223985000,-122.44660865016844,Outer Mission,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T10:18:00.000,Clear,Daylight,Dry,No Unusual Condition,Sideswipe,Injury (Complaint of Pain),37.784151863584910,-122.43456209937629,Western Addition,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T17:49:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Sideswipe,Injury (Complaint of Pain),37.778103327384336,-122.39174041938092,Mission Bay,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T18:13:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Broadside,Injury (Severe),37.775617867586341,-122.49945481087292,Outer Richmond,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T21:16:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Broadside,Injury (Other Visible),37.748671286402008,-122.43756821727061,Noe Valley,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-01T21:30:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.774061646668095,-122.43761062481941,Hayes Valley,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
2025-01-02T06:33:00.000,Clear,Dark - Street Lights,Dry,No Unusual Condition,Broadside,Injury (Complaint of Pain),37.747524801308359,-122.40343838148443,Bayview Hunters Point,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
